SiteCode,vegetation_present,invasives_present,disturbance_present,wildlife_present,flow_modification_present
MOJA_P_BLA0014,1,0,0,0,1
MOJA_P_BLA0015,1,1,1,1,0
MOJA_P_BLI0016,1,1,1,1,1
MOJA_P_BLI0017,1,1,0,0,0
MOJA_P_BOL0018,1,1,0,0,0
MOJA_P_BUD0021,1,1,1,1,1
MOJA_P_BUR0025,1,1,1,1,1
MOJA_P_BUT0027,1,1,1,1,1
MOJA_P_CAB0033,1,1,0,0,0
MOJA_P_CAN0038,1,1,0,0,0
MOJA_P_CAR0042,1,1,0,0,0
MOJA_P_CAS0043,1,1,1,1,1
MOJA_P_CAV0045,1,0,0,0,1
MOJA_P_CED0046,1,1,0,0,0
MOJA_P_CHI0048,1,1,0,0,1
MOJA_P_CLA0049,1,1,1,1,0
MOJA_P_CLI0054,1,1,0,0,0
MOJA_P_COA0055,1,1,1,1,1
MOJA_P_COL0056,1,0,0,0,0
MOJA_P_COL0058,1,1,0,0,0
MOJA_P_COR0060,1,0,0,0,1
MOJA_P_COT0063,1,1,1,1,1
MOJA_P_COT0068,1,1,0,0,0
MOJA_P_COV0069,1,1,0,0,0
MOJA_P_COY0072,1,0,0,0,0
MOJA_P_CUT0081,1,1,1,1,1
MOJA_P_DEE0087,1,1,1,1,1
MOJA_P_DES0088,1,1,1,1,1
MOJA_P_DOV0090,1,1,1,1,1
MOJA_P_DRI0091,1,0,1,1,1
MOJA_P_EAG0092,1,1,1,1,1
MOJA_P_FAL0095,1,0,0,0,0
MOJA_P_FIN0097,1,1,0,0,1
MOJA_P_GOL0107,1,1,1,1,1
MOJA_P_GOL0111,1,1,1,1,1
MOJA_P_GRA0112,1,1,1,1,0
MOJA_P_HAC0116,1,1,1,1,1
MOJA_P_HEN0118,1,1,1,1,1
MOJA_P_HOL0119,1,1,1,0,1
MOJA_P_HOR0121,1,1,1,1,1
MOJA_P_IND0126,1,1,1,1,1
MOJA_P_JUN0128,1,1,1,1,1
MOJA_P_KES0130,1,1,1,1,1
MOJA_P_KEY0133,1,1,0,0,1
MOJA_P_LAN0134,1,1,0,0,1
MOJA_P_LEC0135,1,1,1,1,1
MOJA_P_LIV0136,1,1,0,1,0
MOJA_P_LIV0137,1,1,0,0,0
MOJA_P_MAC0141,1,1,1,1,1
MOJA_P_MAI0142,1,1,1,1,0
MOJA_P_MAL0144,1,1,1,1,1
MOJA_P_MAR0147,1,1,1,1,1
MOJA_P_MAT0148,1,1,1,1,1
MOJA_P_MID0153,1,1,1,1,0
MOJA_P_MIN0151,1,0,0,0,1
MOJA_P_OAK0157,1,1,0,1,0
MOJA_P_PIU0161,1,0,0,0,0
MOJA_P_PRO0165,1,1,0,0,1
MOJA_P_QUA0167,1,1,0,0,0
MOJA_P_ROC0169,1,1,0,0,0
MOJA_P_RUF0171,1,1,0,1,0
MOJA_P_SAC0173,1,1,1,1,1
MOJA_P_SHE0176,1,1,1,1,1
MOJA_P_SIL0178,1,1,1,1,0
MOJA_P_SIL0180,1,1,1,1,1
MOJA_P_SLA0181,1,0,1,1,1
MOJA_P_TAL0187,1,1,1,1,1
MOJA_P_TAY0188,1,1,1,1,1
MOJA_P_TWI0189,1,1,0,0,1
MOJA_P_TWI0190,1,1,1,1,0
MOJA_P_UNN0013,1,1,1,1,1
MOJA_P_UNN0014,1,1,1,1,1
MOJA_P_UNN0026,1,1,0,0,0
MOJA_P_UNN0027,1,0,0,0,0
MOJA_P_UNN0030,1,1,1,1,0
MOJA_P_UNN0210,1,1,0,0,0
MOJA_P_VAN0211,1,1,0,0,1
MOJA_P_VON0212,1,1,1,1,1
MOJA_P_WAR0215,1,1,0,0,1
MOJA_P_WAY0217,1,1,1,1,0
MOJA_P_WHI0219,1,1,0,0,1
MOJA_P_WHI0220,1,1,1,0,1
MOJA_P_WIL0221,1,1,0,0,0
MOJA_P_WIL0222,1,1,1,1,0
MOJA_P_WIL0223,1,1,1,1,0
MOJA_P_WIL0224,1,1,1,1,1
MOJA_P_WIL0225,1,0,0,0,1
MOJA_P_WIN0230,1,0,0,0,0
MOJA_P_WOO0238,1,1,0,0,0
PARA_P_AMB0118,1,1,1,1,0
PARA_P_AND0040,1,0,1,1,0
PARA_P_BLA0031,1,1,1,1,0
PARA_P_BUR0108,1,0,0,0,0
PARA_P_BUR0149,1,1,1,1,1
PARA_P_CAN0208,1,1,0,0,0
PARA_P_CAN0222,1,1,1,1,1
PARA_P_CED0141,1,1,1,1,0
PARA_P_CHI0190,1,1,1,1,0
PARA_P_COC0029,1,1,1,1,0
PARA_P_COL0136,1,1,1,1,1
PARA_P_COT0176,1,0,1,1,0
PARA_P_COV0205,1,1,1,1,0
PARA_P_COY0069,1,1,1,1,1
PARA_P_COY0179,1,0,1,0,1
PARA_P_DEA0022,1,1,1,0,1
PARA_P_DEA0145,1,0,1,0,0
PARA_P_DEW0155,1,1,1,1,1
PARA_P_EDS0199,1,1,1,1,1
PARA_P_GOR0124,1,1,1,1,1
PARA_P_GRA0089,1,1,1,1,0
PARA_P_GRA0196,1,1,1,0,0
PARA_P_GRE0012,1,1,1,1,0
PARA_P_GYP0088,1,1,1,1,1
PARA_P_HID0019,1,1,1,1,1
PARA_P_IDE0009,1,1,1,0,0
PARA_P_IDE0158,1,1,1,1,0
PARA_P_IDE0203,1,1,1,1,1
PARA_P_JUM0125,1,1,1,1,1
PARA_P_LAS0078,1,1,1,0,1
PARA_P_LAS0102,1,1,1,1,1
PARA_P_LAV0006,1,0,1,1,1
PARA_P_LIM0080,1,1,1,1,1
PARA_P_LIN0020,1,1,1,1,1
PARA_P_LIT0048,1,0,1,1,0
PARA_P_LIT0087,1,1,1,1,1
PARA_P_LOW0152,1,1,1,1,0
PARA_P_MAP0110,1,1,1,1,1
PARA_P_MID0173,1,1,1,0,1
PARA_P_MT.0028,1,1,0,1,0
PARA_P_MUD0066,1,1,1,0,0
PARA_P_MUS0197,1,1,1,1,1
PARA_P_ORS0041,1,1,1,1,1
PARA_P_PAI0005,1,1,1,1,0
PARA_P_PAI0015,1,0,1,0,0
PARA_P_PIG0023,1,1,1,1,1
PARA_P_PIG0147,1,1,1,1,1
PARA_P_POC0010,1,1,1,1,0
PARA_P_POC0050,1,1,1,1,0
PARA_P_POC0116,1,1,1,1,0
PARA_P_RAT0212,1,1,1,1,1
PARA_P_RED0071,1,1,1,1,1
PARA_P_SAL0085,1,1,1,0,1
PARA_P_SAN0135,1,1,1,1,0
PARA_P_SOU0178,1,1,1,1,0
PARA_P_WHI0054,1,1,1,1,0
PARA_P_YEL0068,1,1,1,1,1
